TACHE_NAME,ID,ACC_NBR,ORDER_TITLE,NAME,进展
资源归档（集客）,398872172,97824963946,关于中交隧道工程局有限公司（巴马）对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,315661650,97520311926,关于广西玉柴曲轴有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,457771701,98323117192,关于富川瑶族自治县古城镇卫生院对商务快线营销计划产品的业务变更操作的请求,商务快线-移机,资源侧有数据已归档
资源归档（集客）,426295451,97125035852,关于南宁市良庆区五象幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,417488856,97125061303,关于南宁市西乡塘区智高学校北湖分校对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,391149250,98123649760,关于武宣县人民医院对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,317549612,97222075767,关于柳州银行股份有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,468974483,98123293191,关于来宾市兴宾区平阳镇向阳幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
PON网管施工(拆),518465862,97421126952,关于中交一公局第四工程有限公司＇对互联网专线营销计划（极速光纤）产品的业务注销操作的请求,互联网专线快开-拆机,综调处理
IMS专线资源归档,445164284,97926410169,关于北海市米特贸易有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,275564600,97421340637,关于广西鑫森焱投资有限公司对商务快线营销计划产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,315649513,97520203956,关于玉林市卫生学校对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,404395467,97825522521,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319091128,97220931307,关于广东国喜企业管理服务有限公司柳州分公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,276065350,97221350365,关于广西建工集团第二安装建设有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源查询（集客）,489202881,97125229806,关于智慧中台验收测试对专线类--IMS语音专线营销计划产品的业务注销操作的请求,语音专线快开-拆机,查询不到信息
资源归档（集客）,397920446,98025479425,关于中国铁塔股份有限公司崇左市分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
PON网管施工（人工拆）,489421115,98122219815,关于武宣县天下无贼安防电子科技有限公司对商务快线营销计划产品的业务注销操作的请求,商务快线-拆机,需要师傅人工介入
资源归档（集客）,323931581,97623828384,广西德保集广金属材料有限公司2_百色_互联网专线,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,201531840,97418555290,关于中国移动通信集团广西有限公司梧州分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,440747232,97124935739,关于南宁市西乡塘区坛洛欣欣幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,396149266,97122762950,南宁武鸣牧原农牧有限公司_南宁_互联网专线,互联网专线快开-移机,资源侧有数据已归档
IMS专线资源归档,197632796,97120322379,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,201530813,97418636412,关于中国移动通信集团广西有限公司梧州分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
PON网管施工（人工）,314341861,97123681677,,语音专线快开-新装,需要师傅人工介入
资源归档（集客）,197369988,97117995842,广西经济管理干部学院_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,389494025,97025410486,关于广西喆啡信息科技有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,412684562,97924341599,关于广西凤之翔食品有限公司对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-移机,资源侧有数据已归档
资源归档（集客）,331466215,97124194698,广西叫酒网络科技有限公司_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,315653166,97520695297,关于广西玉林国际会展有限责任公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,400237558,97124962726,,语音专线快开-新装,资源侧有数据已归档
定单回复（终验）,522707509,97122914915,关于广西壮族自治区文化和旅游厅对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-移机,客户经理是否点击终验
IMS专线资源归档,416959419,97124904080,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,468977824,98223616178,关于桂平市罗秀镇中心小学独堆分校对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,406372543,98025531880,关于广西现代文化传媒有限责任公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,320867783,97522261421,关于北流市北流镇陵城卫生院对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,398872735,97824938204,关于中冶交通建设集团有限公司1对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,423405960,97124935264,关于南宁经济技术开发区碧翠园幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,433000641,97124954152,关于南宁市西乡塘区育才中学对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,320577588,97522255205,关于博白县博白镇一区中心小学对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,401119330,97124588096,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,304109453,97321806983,关于象山区星脉手机店对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
PON网管施工(拆),527039186,97724242624,关于华为云计算技术有限公司.对互联网专线营销计划（极速光纤）产品的业务注销操作的请求,互联网专线快开-拆机,综调处理
资源归档（集客）,404395474,97825524705,关于广西军宏建筑劳务有限公司.对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,199248038,97120319690,,语音专线快开-新装,资源侧有数据已归档
和商务TV资源归档,312850231,39677,关于蒙山餐餐想快餐店对集客企业互联网电视业务：业务安装操作的请求,和商务TV-新装,资源侧有数据已归档
资源归档（集客）,420364701,97124779441,关于南宁高新技术产业开发区新湖幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,404395583,97825552344,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,253263291,97420590330,广西超速电子科技有限公司_梧州_互联网专线,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,269259638,97118662408,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,198567675,97418591018,关于中国移动通信集团广西有限公司梧州分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,416785576,97124979049,,语音专线快开-新装,资源侧有数据已归档
和商务TV资源归档,211532045,14400,关于广西田东县佈隆家庭农场对集客企业互联网电视业务：业务安装操作的请求,和商务TV-新装,资源侧有数据已归档
资源归档（集客）,410142080,97825257594,关于大化瑶族自治县岩滩镇初级中学对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,394037355,97725432961,关于广西钦州丰远汽车销售服务有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,371876405,97322997343,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,423654185,97423067141,关于广西壮族自治区梧州水利电力设计院对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,416960296,97124111637,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,317548087,97222075802,关于柳州银行股份有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,400237481,97124982439,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,338321914,97321324358,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,332972352,98222374729,关于贵港市港北区蜜谜西餐酒吧对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,421834399,97917451965,关于合浦县廉州镇人民政府对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-移机,资源侧有数据已归档
资源归档（集客）,417484068,97125118273,关于南宁市西乡塘区老口小学乔华教学点对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,196362976,97118456584,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,404395453,97825525222,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197636832,97120322237,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,201531426,97418631995,关于中国移动通信集团广西有限公司梧州分公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,315662378,97520369800,关于广西玉柴机器配件制造有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,442857692,97926816045,关于广西川化天禾钾肥有限责任公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,471796166,97824254128,关于罗城仫佬族自治县文化广电体育和旅游局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,420200175,97925067184,关于广西科清环境服务有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,442857561,97926816055,关于广西川化天禾钾肥有限责任公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,442858029,97926816032,关于广西川化天禾钾肥有限责任公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,419862912,97825451060,关于天峨县更新乡中心校，对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,399412909,97124987904,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,396124773,97124014905,关于上林县人力资源和社会保障局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,317554983,97723950471,关于中国人民财产保险股份有限公司钦州市分公司.对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,399333563,97124814097,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,269253780,97120324839,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,209109275,97118667629,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319854861,97220759964,关于柳州市城中区美好宾馆对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197630885,97120322697,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,416566135,97125075520,关于南宁高新技术产业开发区东师双语学校对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,404395493,97825535539,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319098495,97220657187,关于金碧物业有限公司柳州分公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,277183812,97421204844,关于梧州市万濠酒店有限公司对商务快线营销计划产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,339857645,97122392720,广西壮族自治区文化和旅游厅_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,427239114,97926412033,关于合浦县公安局对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,404395543,97825552289,关于中交隧道工程局有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,262140853,97122290072,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,209109456,97118679481,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,471796182,97824254133,关于罗城仫佬族自治县文化广电体育和旅游局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,398141294,97124875668,南宁联翔置业发展有限公司_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,404395460,97825531665,关于南丹县八圩老卡山方解石场对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,415209715,97125027461,关于南宁市西宁路幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,296840295,97421067607,关于岑溪市溢源养殖场对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,468977778,98322257610,关于富川瑶族自治县第一小学对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,410342879,97125196050,关于隆安县金贝贝幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,193346190,97019582254,关于防城港市防城区大菉镇那蕾小学对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,188361762,97418475237,关于广西藤县裕诚达房地产开发有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,406003270,97924477507,关于广西凤之翔食品有限公司对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-移机,资源侧有数据已归档
IMS专线资源归档,285769145,97123245403,关于亚信第三方测试对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,396129582,97123681677,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,284843571,97421410614,关于苍梧县教育局对商务快线营销计划产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319089504,97221476979,关于柳州市职业技能公共实训中心对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319483277,97520093211,关于广西玉柴机器配件制造有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,410346922,97125074914,关于隆安县博雅幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,215047508,97118390730,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,352636626,97322762748,关于交通银行股份有限公司桂林分行对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,319090248,97220661658,关于柳州市创优房地产经纪有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,379093776,97125229806,关于智慧中台验收测试对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,468976691,97923892569,关于合浦县党江镇初级中学对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
IMS专线资源归档,336530752,97521248991,关于广西玉柴机器股份有限公司(铁通2)对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319058367,97220551049,关于鹿寨县住房和城乡建设局对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,410365945,97125004356,关于隆安县古潭乡新蓝天幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,229279172,97420635870,关于蒙山县司法局对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,411989452,97725863364,关于孚宝（钦州）码头有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,339455535,97522183543,关于广西柳钢中金不锈钢有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,416960057,97124301151,,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,335758940,97521888660,关于北流市泊尔曼酒店对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197632166,97120333723,,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,471801620,97824254061,关于罗城仫佬族自治县文化广电体育和旅游局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,410352436,97125030472,关于隆安县南圩镇四季童话幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,299860009,97421846016,关于国家电投集团广西梧州新能源有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,197635569,97120333774,,语音专线快开-新装,资源侧有数据已归档
定单回复（终验）,497902685,97825429621,关于重庆以琳建筑工程有限公司对互联网专线营销计划（极速光纤）产品的业务注销操作的请求,互联网专线快开-拆机,客户经理是否点击终验
资源归档（集客）,287860789,97421068713,关于梧州市新兴二路小学对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,374549874,98123020053,关于金秀瑶族自治县教育体育局对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,400003462,98025487297,关于广西荣顾红星农产品有限公司.对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,419862768,97825451088,关于天峨县更新乡中心校，对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,396335357,97925452894,关于广西巴菲特斯智能科技有限公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,434200235,97912959776,关于北海市扶贫信息中心对互联网专线营销计划（极速光纤）产品的业务变更操作的请求,互联网专线快开-移机,资源侧有数据已归档
IMS专线资源归档,315653879,97520605818,关于玉林市世华房地产中介服务有限公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,468975589,97123479606,关于南宁市武鸣区罗波镇陆海飞养殖场对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,306463298,97221794926,关于柳州炜林纳新材料科技有限责任公司对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
IMS专线资源归档,319085990,97220862343,关于富德生命人寿保险股份有限公司柳州中心支公司对专线类--IMS语音专线营销计划产品的集团新装操作的请求,语音专线快开-新装,资源侧有数据已归档
资源归档（集客）,276891650,97421126952,关于中交一公局第四工程有限公司..对互联网专线营销计划（极速光纤）产品的集团新装操作的请求,互联网专线快开-新装,资源侧有数据已归档
PON网管施工(拆),488702288,97420551183,关于岑溪市欣建房地产开发有限公司.对互联网专线营销计划（极速光纤）产品的业务注销操作的请求,互联网专线快开-拆机,综调处理
资源归档（集客）,410363544,97125066320,关于隆安县丁当镇馨菲幼儿园对商务快线营销计划产品的集团新装操作的请求,商务快线-新装,资源侧有数据已归档
资源归档（集客）,296469917,97121804720,中国石化销售有限公司广西石油分公司_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
资源归档（集客）,268657717,97122355966,中国铁塔股份有限公司南宁市分公司（良庆区办事处）_南宁_互联网专线,互联网专线快开-新装,资源侧有数据已归档
